"Year","NUTS2","NUTS0","GDP_MIO_EUR","TotPopNr","Area"
2015,"DE27","DE",67650,1821271,9835.00303805169
2015,"DE40","DE",66587,2457872,30985.6211798311
2015,"DE21","DE",242666,4519979,17052.9796199813
2015,"DEB2","DE",15518,521863,4489.90920432874
2015,"DE14","DE",72364,1795468,9437.46150677023
2015,"DE12","DE",113037,2721266,6741.23287393259
2015,"DE92","DE",74048,2108413,9298.79427989597
2015,"DED2","DE",45618,1592765,7684.41570393648
2015,"DE50","DE",31283,661888,455.329492667883
2015,"DE93","DE",45134,1677715,15276.1521564281
2015,"DEB3","DE",72619,2012517,7052.99545185579
2015,"DE11","DE",197603,4008288,10664.6013481317
2015,"DE13","DE",78886,2191622,9471.33534069007
2015,"DEC0","DE",34748,989035,2595.67776533525
2015,"DED4","DE",38221,1463341,6788.53297520088
2015,"DE60","DE",108511,1762791,558.328742930618
2015,"DE94","DE",81476,2460857,14468.069322659
2015,"DEA2","DE",177395,4361724,7529.72416260013
2015,"DEA4","DE",72566,2029648,6599.07947396329
2015,"DEB1","DE",47785,1477202,8166.17633365739
2015,"DEA3","DE",81426,2580664,7090.37154620825
2015,"DED5","DE",30116,999168,3759.39594115679
2015,"DE71","DE",189079,3863818,7452.81954332157
2015,"DEA1","DE",202838,5108290,5328.37377509059
2015,"DEE0","DE",58075,2235548,20857.4155701618
2015,"DEA5","DE",116805,3557772,7938.42481803626
2015,"DE80","DE",40327,1599138,23582.9547920544
2015,"DEF0","DE",87023,2830864,15062.0656250025
2015,"DE73","DE",41364,1201050,8548.09835207423
2015,"DE72","DE",32653,1029020,5140.16814589596
2015,"DEG0","DE",59003,2156759,16104.6675902456
2015,"DE91","DE",56964,1579754,8078.1523065869
2016,"DE27","DE",69741.0358565737,1846020,9835.00303805169
2016,"DE26","DE",49484.0637450199,1306048,7977.74620267623
2016,"DE23","DE",43503.984063745,1092339,9548.20481079293
2016,"DE14","DE",74701.1952191235,1823573,9437.46150677023
2016,"DE22","DE",45103.5856573705,1212119,10362.4333280335
2016,"DE24","DE",37371.5139442231,1059358,7247.05078710998
2016,"DE30","DE",129406.374501992,3520031,832.395982639715
2016,"DEA5","DE",120030.876494024,3597297,7938.42481803626
2016,"DE25","DE",72043.8247011952,1738686,7317.5092816671
2016,"DE40","DE",68483.0677290837,2484826,30985.6211798311
2016,"DE21","DE",250514.940239044,4588944,17052.9796199813
2016,"DE92","DE",75792.828685259,2132290,9298.79427989597
2016,"DE94","DE",83463.1474103586,2496176,14468.069322659
2016,"DEA4","DE",74555.7768924303,2057996,6599.07947396329
2016,"DEB1","DE",49031.8725099602,1488308,8166.17633365739
2016,"DED2","DE",47363.5458167331,1602754,7684.41570393648
2016,"DE50","DE",32247.0119521912,671489,455.329492667883
2016,"DE71","DE",193549.800796813,3922369,7452.81954332157
2016,"DE93","DE",46241.0358565737,1699969,15276.1521564281
2016,"DEA1","DE",208628.486055777,5173623,5328.37377509059
2016,"DE11","DE",203706.175298805,4069533,10664.6013481317
2016,"DEB2","DE",15920.3187250996,532715,4489.90920432874
2016,"DED4","DE",39765.9362549801,1465612,6788.53297520088
2016,"DE60","DE",110633.466135458,1787408,558.328742930618
2016,"DE72","DE",33405.3784860558,1040091,5140.16814589596
2016,"DE80","DE",41414.3426294821,1612362,23582.9547920544
2016,"DEA2","DE",182399.402390438,4422371,7529.72416260013
2016,"DE12","DE",116687.250996016,2761977,6741.23287393259
2016,"DEB3","DE",74449.203187251,2031780,7052.99545185579
2016,"DED5","DE",31283.8645418327,1016485,3759.39594115679
2016,"DEF0","DE",89194.2231075697,2858714,15062.0656250025
2016,"DE73","DE",42336.6533864542,1213712,8548.09835207423
2016,"DE91","DE",58494.0239043825,1598164,8078.1523065869
2016,"DEA3","DE",83815.7370517928,2614229,7090.37154620825
2016,"DE13","DE",81491.0358565737,2224535,9471.33534069007
2016,"DEC0","DE",35090.6374501992,995597,2595.67776533525
2016,"DEE0","DE",59355.577689243,2245470,20857.4155701618
2016,"DEG0","DE",60820.7171314741,2170714,16104.6675902456
2010,"DK01","DK",99256.1105207226,1680271,1511.26177254945
2010,"DK03","DK",50020.1912858661,1200277,10629.8306124739
2010,"DK05","DK",22705.6323060574,579628,6932.463093948
2010,"DK02","DK",26086.078639745,820564,6836.32063949154
2010,"DK04","DK",52216.7906482465,1253998,12969.3111955754
2011,"DK04","DK",52796.066252588,1260993,12969.3111955754
2011,"DK01","DK",96572.463768116,1699387,1511.26177254945
2011,"DK05","DK",22389.2339544513,579829,6932.463093948
2011,"DK02","DK",25615.9420289855,819763,6836.32063949154
2011,"DK03","DK",49974.1200828157,1200656,10629.8306124739
2012,"DK05","DK",22590.4954499494,579996,6932.463093948
2012,"DK04","DK",52103.134479272,1266682,12969.3111955754
2012,"DK03","DK",49586.4509605662,1201342,10629.8306124739
2012,"DK02","DK",25754.2972699697,817907,6836.32063949154
2012,"DK01","DK",98337.7148634985,1714589,1511.26177254945
2013,"DK05","DK",22739.4366197183,580272,6932.463093948
2013,"DK04","DK",52627.7665995976,1272510,12969.3111955754
2013,"DK03","DK",50456.7404426559,1201419,10629.8306124739
2013,"DK02","DK",25605.6338028169,816359,6836.32063949154
